Timestamp,Speed (knots),Altitude (feet),Course (degrees),Pitch (degrees),Bank (degrees),Latitude,Longitude,Source,GPSModelName,FlightTitle
2024-08-23T22:52:24.72Z,77.23,3138.45,107.43,0.00,69.70,33.325546,-86.832397,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:25.72Z,75.08,3133.53,111.80,-2.22,70.94,33.325417,-86.832011,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:26.72Z,77.23,3133.53,107.43,0.00,69.70,33.325310,-86.831603,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:27.72Z,78.79,3128.28,110.73,-2.26,69.90,33.325181,-86.831195,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:28.72Z,77.06,3128.28,107.47,0.00,69.75,33.325074,-86.830788,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:29.72Z,78.79,3123.36,110.73,-2.12,69.90,33.324945,-86.830380,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:30.72Z,75.08,3123.36,111.80,0.00,70.94,33.324816,-86.829994,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:31.72Z,78.79,3118.44,110.73,-2.12,69.90,33.324687,-86.829586,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:32.72Z,78.71,3118.44,110.58,0.00,69.89,33.324559,-86.829178,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:33.72Z,77.12,3118.44,107.62,0.00,69.76,33.324451,-86.828771,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:34.72Z,75.17,3118.44,111.60,0.00,70.89,33.324323,-86.828384,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:35.72Z,77.12,3113.52,107.62,-2.17,69.76,33.324215,-86.827977,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:36.72Z,78.71,3113.52,110.58,0.00,69.89,33.324087,-86.827569,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:37.72Z,78.79,3113.52,110.73,0.00,69.89,33.323958,-86.827161,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:38.73Z,75.08,3108.27,111.80,-2.37,70.94,33.323829,-86.826775,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:39.72Z,77.23,3108.27,107.42,0.00,69.70,33.323722,-86.826367,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:40.72Z,73.45,3108.27,108.35,0.00,70.77,33.323615,-86.825981,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:41.72Z,78.79,3108.27,110.73,0.00,69.89,33.323486,-86.825573,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:42.72Z,73.45,3108.27,108.35,0.00,70.77,33.323379,-86.825187,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:43.72Z,75.08,3108.27,111.80,0.00,70.94,33.323250,-86.824801,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:44.72Z,75.08,3108.27,111.80,0.00,70.94,33.323121,-86.824415,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:45.72Z,75.25,3103.35,111.75,-2.22,70.89,33.322992,-86.824028,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:46.72Z,71.33,3103.35,112.82,0.00,71.98,33.322864,-86.823664,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:47.73Z,78.79,3098.43,110.73,-2.12,69.89,33.322735,-86.823256,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:48.72Z,73.45,3093.50,108.35,-2.27,70.77,33.322628,-86.822870,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:54.72Z,457.26,3083.33,108.35,-0.76,24.73,33.321962,-86.820467,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:55.72Z,78.71,3038.39,110.58,-18.69,69.89,33.321834,-86.820059,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:56.72Z,77.30,3033.46,107.58,-2.16,69.71,33.321726,-86.819651,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:57.72Z,77.23,3033.46,107.42,0.00,69.70,33.321619,-86.819243,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:58.72Z,78.62,3033.46,110.77,0.00,69.94,33.321490,-86.818836,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:59.72Z,73.62,3028.54,108.31,-2.27,70.73,33.321383,-86.818449,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:00.72Z,75.09,3028.54,111.80,0.00,70.94,33.321254,-86.818063,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:01.72Z,75.01,3033.46,111.65,2.23,70.93,33.321126,-86.817677,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:02.72Z,73.52,3033.46,108.51,0.00,70.78,33.321018,-86.817291,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:03.72Z,69.86,3033.46,109.33,0.00,71.80,33.320911,-86.816926,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:04.72Z,69.86,3033.46,109.33,0.00,71.80,33.320804,-86.816561,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:05.72Z,75.09,3033.46,111.80,0.00,70.94,33.320675,-86.816175,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:06.72Z,68.49,3028.54,105.75,-2.44,71.57,33.320589,-86.815810,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:07.72Z,73.45,3018.37,108.35,-4.69,70.77,33.320482,-86.815424,ForeFlight Mobile,Stratux,8AL1 - 41AL
